127.0.0.1 - - [20/Dec/2018:18:51:13 -0600] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/index.html HTTP/1.1" 200 23161
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/css/bootstrap.css HTTP/1.1" 200 133554
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/css/bootstrap-responsive.css HTTP/1.1" 200 23380
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/css/fancybox/jquery.fancybox.css HTTP/1.1" 200 6062
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/css/jcarousel.css HTTP/1.1" 200 4443
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/css/flexslider.css HTTP/1.1" 200 3982
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/css/style.css HTTP/1.1" 200 49985
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/skins/blue.css HTTP/1.1" 200 4482
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/jquery.js HTTP/1.1" 200 92857
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/jquery.easing.1.3.js HTTP/1.1" 200 8301
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/bootstrap.js HTTP/1.1" 200 64027
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/jquery.fancybox.pack.js HTTP/1.1" 200 22758
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/jcarousel/jquery.jcarousel.min.js HTTP/1.1" 200 15666
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/jquery.fancybox-media.js HTTP/1.1" 200 5364
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/google-code-prettify/prettify.js HTTP/1.1" 200 13725
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/portfolio/jquery.quicksand.js HTTP/1.1" 200 15003
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/portfolio/setting.js HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/jquery.nivo.slider.js HTTP/1.1" 200 29774
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/jquery.flexslider.js HTTP/1.1" 200 57536
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/jquery.ba-cond.min.js HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/jquery.slitslider.js HTTP/1.1" 200 16267
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/modernizr.custom.js HTTP/1.1" 200 9379
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/animate.js HTTP/1.1" 200 10003
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/js/custom.js HTTP/1.1" 200 6083
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/img/slides/nivo/bg-1.jpg HTTP/1.1" 200 438244
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/img/slides/nivo/bg-2.jpg HTTP/1.1" 200 288706
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/img/slides/nivo/bg-3.jpg HTTP/1.1" 200 350874
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/img/works/thumbs/image-01.jpg HTTP/1.1" 200 170166
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/img/works/thumbs/image-02.jpg HTTP/1.1" 200 336024
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/img/works/thumbs/image-03.jpg HTTP/1.1" 200 233886
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/img/works/thumbs/image-04.jpg HTTP/1.1" 200 195085
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:15 -0600] "GET /ProyectoFinal/img/logo.png HTTP/1.1" 200 27987
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:16 -0600] "GET /ProyectoFinal/img/glyphicons-halflings.png HTTP/1.1" 200 12799
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:37 -0600] "GET /ProyectoFinal/index.html HTTP/1.1" 200 23161
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:37 -0600] "GET /ProyectoFinal/css/bootstrap.css HTTP/1.1" 200 133554
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:37 -0600] "GET /ProyectoFinal/css/bootstrap-responsive.css HTTP/1.1" 200 23380
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:37 -0600] "GET /ProyectoFinal/css/fancybox/jquery.fancybox.css HTTP/1.1" 200 6062
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:37 -0600] "GET /ProyectoFinal/css/style.css HTTP/1.1" 200 49985
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:37 -0600] "GET /ProyectoFinal/css/jcarousel.css HTTP/1.1" 200 4443
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:37 -0600] "GET /ProyectoFinal/css/flexslider.css HTTP/1.1" 200 3982
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:37 -0600] "GET /ProyectoFinal/skins/blue.css HTTP/1.1" 200 4482
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:37 -0600] "GET /ProyectoFinal/js/jquery.js HTTP/1.1" 200 92857
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:37 -0600] "GET /ProyectoFinal/js/bootstrap.js HTTP/1.1" 200 64027
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:37 -0600] "GET /ProyectoFinal/js/jquery.easing.1.3.js HTTP/1.1" 200 8301
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:37 -0600] "GET /ProyectoFinal/js/jcarousel/jquery.jcarousel.min.js HTTP/1.1" 200 15666
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:37 -0600] "GET /ProyectoFinal/js/jquery.fancybox.pack.js HTTP/1.1" 200 22758
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:37 -0600] "GET /ProyectoFinal/js/jquery.fancybox-media.js HTTP/1.1" 200 5364
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/js/portfolio/setting.js HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/js/portfolio/jquery.quicksand.js HTTP/1.1" 200 15003
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/js/google-code-prettify/prettify.js HTTP/1.1" 200 13725
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/js/jquery.flexslider.js HTTP/1.1" 200 57536
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/js/jquery.nivo.slider.js HTTP/1.1" 200 29774
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/js/modernizr.custom.js HTTP/1.1" 200 9379
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/js/jquery.ba-cond.min.js HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/js/jquery.slitslider.js HTTP/1.1" 200 16267
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/js/custom.js HTTP/1.1" 200 6083
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/js/animate.js HTTP/1.1" 200 10003
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/img/works/thumbs/image-02.jpg HTTP/1.1" 200 336024
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/img/slides/nivo/bg-3.jpg HTTP/1.1" 200 350874
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/img/slides/nivo/bg-2.jpg HTTP/1.1" 200 288706
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/img/logo.png HTTP/1.1" 200 27987
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:38 -0600] "GET /ProyectoFinal/img/works/thumbs/image-01.jpg HTTP/1.1" 200 170166
